Year,Location,Cage_Num,Replication,Density_NN,Density_Num,Pre_Live_SD,Pre_Dead_SD,Pre_Pene_1,Pre_Pene_2,Pre_Pene_3,Pre_Pene_AVG,Post_Live_SD,Post_Dead_SD,Post_Pene_1,Post_Pene_2,Post_Pene_3,Post_Pene_AVG,Post_Burrow_Count,Post_Crab_Count,Post_Mussels,Spartina_Biomass,Year_2,Location_2,Cage_Num_2,Replication_2,Density_NN_2
2017,NAN,1_4,One,Four,4,32,7,9,9,9,9,24,4,1,1,1,1,10,,,52.7,2017,NAN,1_4,One,Four
2017,NAN,1_8,One,Eight,8,5,0,10,10,10,10,0,7,1,1,3,1.67,9,,,0.0001,2017,NAN,1_8,One,Eight
2017,NAN,1_12,One,Twelve,12,16,2,5,5,5,5,35,6,17,16,11,14.67,16,,,31.1,2017,NAN,1_12,One,Twelve
2017,NAN,1_16,One,Sixteen,16,21,1,21,21,21,21,4,3,9,10.5,24,14.5,17,,,12.1,2017,NAN,1_16,One,Sixteen
2017,NAN,1_20,One,Twenty,20,17,5,17,17,17,17,14,2,2,9,11,7.33,15,,,35.2,2017,NAN,1_20,One,Twenty
2017,NAN,1_CC,One,Caged_Control,0,30,9,9,9,9,9,11,9,5,7,25,12.33,8,,,52.8,2017,NAN,1_CC,One,Caged_Control
2017,NAN,1_CP,One,Control_Plot,,33,6,11,11,11,11,19,7,19,19,17,18.33,6,,,43.1,2017,NAN,1_CP,One,Control_Plot
2017,NAN,2_4,Two,Four,4,5,1,15,15,15,15,1,0,4,7,10,7,9,,,2.8,2017,NAN,2_4,Two,Four
2017,NAN,2_8,Two,Eight,8,41,4,6,6,6,6,21,5,15,11,13,13,14,,,61.9,2017,NAN,2_8,Two,Eight
2017,NAN,2_12,Two,Twelve,12,35,21,20,20,20,20,18,5,16,19,20,18.33,11,,,17.3,2017,NAN,2_12,Two,Twelve
2017,NAN,2_16,Two,Sixteen,16,40,15,18.5,18.5,18.5,18.5,17,0,13,10,10,11,11,,,7.1,2017,NAN,2_16,Two,Sixteen
2017,NAN,2_20,Two,Twenty,20,0,13,5.5,5.5,5.5,5.5,6,0,15,12,12,13,7,,,0.0001,2017,NAN,2_20,Two,Twenty
2017,NAN,2_CC,Two,Caged_Control,0,25,3,1,1,1,1,10,1,13,26.5,19.5,19.67,2,,,20.7,2017,NAN,2_CC,Two,Caged_Control
2017,NAN,2_CP,Two,Control_Plot,,21,3,1,1,1,1,6,1,16,16,20,17.33,4,,,19.9,2017,NAN,2_CP,Two,Control_Plot
2017,NAN,3_4,Three,Four,4,19,4,2,2,2,2,10,3,10,12,16,12.67,7,,,23.7,2017,NAN,3_4,Three,Four
2017,NAN,3_8,Three,Eight,8,25,7,1,1,1,1,12,5,18,25,16,19.67,5,,,48.2,2017,NAN,3_8,Three,Eight
2017,NAN,3_12,Three,Twelve,12,28,10,1,1,1,1,17,4,16,16,16,16,9,,,44.3,2017,NAN,3_12,Three,Twelve
